V01301 V04001 V04002 V04003 V12001_701 V13003_701
53723 2018 2 7 -9.7000 34.3000 
53723 2018 2 8 -5.9000 28.3000 
53723 2018 2 9 -5.5000 28.8000 
53723 2018 2 10 -9.5000 32.3000 
53723 2018 2 11 -11.9000 28.5000 
53723 2018 2 12 -8.2000 27.0000 
53723 2018 2 13 1.5000 18.5000 
53723 2018 2 14 -2.6000 20.5000 
53723 2018 2 15 -3.2000 27.0000 
53723 2018 2 16 -2.0000 26.8000 
53723 2018 2 17 -1.3000 35.5000 
53723 2018 2 18 -1.3000 40.5000 
53723 2018 2 19 -1.0000 34.8000 
53723 2018 2 20 -6.2000 54.5000 
53723 2018 2 21 -3.9000 51.5000 
53723 2018 2 22 -2.0000 25.5000 
53723 2018 2 23 0.1000 20.3000 
53723 2018 2 24 -2.0000 35.8000 
53723 2018 2 25 1.7000 34.5000 
53723 2018 2 26 1.9000 21.0000 
53723 2018 2 27 4.1000 34.0000 
53723 2018 2 28 6.2000 26.5000 
53723 2018 3 1 3.2000 32.0000 
53723 2018 3 2 7.6000 28.8000 
53723 2018 3 3 9.0000 36.8000 
53723 2018 3 4 5.6000 22.8000 
53723 2018 3 5 3.4000 28.3000 
53723 2018 3 6 6.0000 61.8000 
53723 2018 3 7 3.7000 42.0000 
53723 2018 3 8 0.2000 35.3000 
53723 2018 3 9 4.7000 30.5000 
53723 2018 3 10 5.7000 20.5000 
53723 2018 3 11 8.7000 32.0000 
53723 2018 3 12 11.0000 28.5000 
53723 2018 3 13 12.1000 24.8000 
53723 2018 3 14 16.3000 17.0000 
53723 2018 3 15 5.8000 36.0000 
53723 2018 3 16 8.7000 47.8000 
53723 2018 3 17 7.3000 67.0000 
53723 2018 3 18 5.8000 67.5000 
53723 2018 3 19 7.0000 56.5000 
53723 2018 3 20 6.7000 56.8000 
53723 2018 3 21 5.4000 61.0000 
53723 2018 3 22 7.6000 45.0000 
53723 2018 3 23 8.9000 29.5000 
53723 2018 3 24 8.2000 25.8000 
53723 2018 3 25 10.0000 36.5000 
53723 2018 3 26 12.6000 27.8000 
53723 2018 3 27 15.1000 17.0000 
53723 2018 3 28 15.3000 19.0000 
53723 2018 3 29 15.2000 26.8000 
53723 2018 3 30 16.7000 25.8000 
53723 2018 3 31 13.3000 28.5000 
53723 2018 4 1 14.9000 25.3000 
53723 2018 4 2 18.9000 20.3000 
53723 2018 4 3 12.6000 29.8000 
53723 2018 4 4 11.0000 34.3000 
53723 2018 4 5 6.4000 19.3000 
53723 2018 4 6 0.3000 31.0000 
53723 2018 4 7 6.0000 13.8000 
53723 2018 4 8 12.2000 8.0000 
53723 2018 4 9 14.1000 12.3000 
53723 2018 4 10 14.5000 15.3000 
53723 2018 4 11 11.6000 24.8000 
53723 2018 4 12 11.7000 71.0000 
53723 2018 4 13 7.2000 53.0000 
53723 2018 4 14 6.3000 35.0000 
53723 2018 4 15 8.1000 48.5000 
